bt.A.x START
Linux 2.6.32-279.14.1.el6.x86_64 (compute-641-20.local) 	03/22/2015 	_x86_64_	(32 CPU)

06:43:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
06:43:16 PM  all    3.16    0.00    0.08    0.00    0.00    0.00    0.00    0.00   96.76
06:43:16 PM    0    0.00    0.00    1.02    0.00    0.00    0.00    0.00    0.00   98.98
06:43:16 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   10    0.00    0.00    0.50    0.00    0.00    0.00    0.00    0.00   99.50
06:43:16 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
06:43:16 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
